random_state,test_score,best_model
0,0.7575757575757576,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=0, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Stemc...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=0,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
1,0.25,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=42, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Stem...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=1,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
2,0.7352941176470589,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=84, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Stem...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=2,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
3,0.703125,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=126, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=3,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
4,0.44776119402985076,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=168, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=4,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
5,0.625,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=210, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=5,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
6,0.4411764705882353,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=252, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=6,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
7,0.6818181818181818,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=294, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=7,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
8,0.5,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=336, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=8,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
9,0.546875,"GridSearchCV(cv=StratifiedKFold(n_splits=4, random_state=378, shuffle=True),
             estimator=Pipeline(steps=[('columntransformer',
                                        ColumnTransformer(transformers=[('onehot',
                                                                         Pipeline(steps=[('imputer2',
                                                                                          SimpleImputer(fill_value=-10,
                                                                                                        strategy='constant')),
                                                                                         ('onehot',
                                                                                          OneHotEncoder(drop='first',
                                                                                                        handle_unknown='ignore',
                                                                                                        sparse_output=False))]),
                                                                         ['Recipientgender',
                                                                          'Ste...
                                       ('standardscaler', StandardScaler()),
                                       ('logisticregression',
                                        LogisticRegression(max_iter=10000000,
                                                           penalty='elasticnet',
                                                           random_state=9,
                                                           solver='saga'))]),
             n_jobs=-1,
             param_grid={'logisticregression__C': [0.01, 0.1, 1, 10, 100],
                         'logisticregression__l1_ratio': [0, 0.2, 0.4, 0.6, 0.8,
                                                          1]},
             return_train_score=True,
             scoring=make_scorer(f2_func, response_method='predict'),
             verbose=True)"
