random_state,test_score,best_model
0,0.7303370786516854,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=0))])"
1,0.7386363636363636,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=1))])"
2,0.7386363636363636,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=2))])"
3,0.7386363636363636,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=3))])"
4,0.7303370786516854,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=4))])"
5,0.7303370786516854,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=5))])"
6,0.7386363636363636,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=6))])"
7,0.7386363636363636,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=7))])"
8,0.7303370786516854,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=8))])"
9,0.7303370786516854,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehot',
                                                  Pipeline(steps=[('imputer2',
                                                                   SimpleImputer(fill_value=-10,
                                                                                 strategy='constant')),
                                                                  ('onehot',
                                                                   OneHotEncoder(drop='first',
                                                                                 handle_unknown='ignore',
                                                                                 sparse_output=False))]),
                                                  ['Recipientgender',
                                                   'Stemcellsource',
                                                   'Gendermatch', 'DonorABO',
                                                   'RecipientABO',
                                                   'RecipientRh', 'ABOmatch',
                                                   'Donor...
                                                   'IIIV', 'Donorage35',
                                                   'Recipientage10',
                                                   'Recipientageint',
                                                   'ANCrecovery_bool',
                                                   'PLTrecovery_bool',
                                                   'time_to_aGvHD_III_IV_bool']),
                                                 ('minmax', MinMaxScaler(),
                                                  ['Donorage', 'Recipientage']),
                                                 ('std', StandardScaler(),
                                                  ['CD34kgx10d6', 'CD3dCD34',
                                                   'CD3dkgx10d8',
                                                   'Rbodymass'])])),
                ('standardscaler', StandardScaler()),
                ('svc',
                 SVC(C=0.1, class_weight='balanced', gamma=0.01,
                     random_state=9))])"
